111,Dai Duong Dai,0258147369,321iop@gmail.com,15 Nguyễn Huệ,DaiDuong,555555,USER,UNLICENSED-USE
222,Hello Baby,0444111222,741zxcvb@gmail.com,16 Nguyễn Trãi,DaiDai,666666,USER,LICENSED-USE
333,Anh Rat Chao Em,0555222666,ghjk@gmail.com,17 Lê Lợi,Admin,000000,ADMIN,LICENSED-USE
541,Man Mac Buon,0122584165,avnja@gmail.com,541 541,duong541,duong541,USER,LICENSED-USE
7845,Mai Mot Minh,0125147698,dfgh@gmail.com,15 Bến Nghé,OKiaOkia,021541121,USER,LICENSED-USE
7548,Text Active Status,0225588113,acd123@gmail.com,14 Ngô Quyền,TextActiveStatus,111222,USER,LICENSED-USE
5522,Chao Be,0112244122,ghj@gmail.com,147 Nguyễn Huệ,ChaoBe,0225588446,ADMIN,LICENSED-USE
5566,Chao Em ,0154216325,fgh@gmail.com,47 Nguyễn Sinh Cung,ChaoEm,0221155,USER,UNLICENSED-USE
8989,Đỗ Trọng Đại Dương,0445511223,dotrongdaiduong@gmail.com,123321,ChaChaCha,11223311,ADMIN,LICENSED-USE
556655,Nguyễn Nhật Trường,0221144551,bnm@gmail.com,15 Nguyễn Trãi,choichoi,0002220,USER,LICENSED-USE
545452,Thanh Tùng,0124578451,hjk@gmail.com,14 Hải Triều,hahaha,012354,USER,LICENSED-USE
55665,Dũng Nắc,0336655441,uio@gmail.com,15 Ngô Quyền,chacha,0122111232,USER,LICENSED-USE
6,Quang Dung,0987656787,d@ggchf.fdg,hue,6,rrttyuiou,USER,LICENSED-USE
7,Mo Mo,0974567864,dg@gmail.com,Hue,Dung,Dung1234,USER,LICENSED-USE
5848,Choi Choi,0215487963,fghj@gmail.com,15 vbnm,cdvfv,215402,USER,UNLICENSED-USE
21545,Gchoi Dchoi,0212121512,vbnm@gmail.com,fghjkl,cvbnm,fghjklfgh,USER,UNLICENSED-USE
212121,Huế Thương,0215496325,dfghj@gmail.com,fghjkl,vbnmghjk,tyuiop,USER,UNLICENSED-USE
4545545,chchc,0202020202,cvgdvcgd@gmail.com,1254125,chachalala,zxcvbnm,USER,UNLICENSED-USE
151511,Nguyễn Thanh Tùng,0214589632,vhudhv@gmail.com,5252,TungDay,5152535759,USER,UNLICENSED-USE
